iter	RMSE_SumError	RMSE_SumWeight	MAE_SumError	MAE_SumWeight
0	5.007963984e+14	3343	788135104.1	3343
1	4.572924455e+14	3343	748722210.8	3343
2	4.253518741e+14	3343	716422487.5	3343
3	3.992214034e+14	3343	684706156.4	3343
4	3.706157395e+14	3343	656601659.9	3343
5	3.54993141e+14	3343	638952073.7	3343
6	3.443436204e+14	3343	624764417.1	3343
7	3.318185573e+14	3343	608426663.5	3343
8	3.148766587e+14	3343	589356638.7	3343
9	3.048551087e+14	3343	576935946.2	3343
10	3.003590569e+14	3343	570565654.2	3343
11	2.942908539e+14	3343	562553200.6	3343
12	2.917243012e+14	3343	558165001.4	3343
13	2.874231743e+14	3343	551678294.7	3343
14	2.796602962e+14	3343	541517803	3343
15	2.734075896e+14	3343	533529738.6	3343
16	2.721452163e+14	3343	531185758.4	3343
17	2.64215388e+14	3343	523230087.2	3343
18	2.607070356e+14	3343	518158296.7	3343
19	2.56324899e+14	3343	513101786.6	3343
20	2.530252563e+14	3343	507446831.2	3343
21	2.515567953e+14	3343	504771869.7	3343
22	2.487650797e+14	3343	500131076.9	3343
23	2.483051865e+14	3343	499219783.9	3343
24	2.481348909e+14	3343	498265363.4	3343
25	2.448077209e+14	3343	494840548.9	3343
26	2.40103845e+14	3343	489482646.5	3343
27	2.395511674e+14	3343	488152848.5	3343
28	2.395231563e+14	3343	487900064.4	3343
29	2.385902144e+14	3343	486074886.6	3343
30	2.384288616e+14	3343	486070957.1	3343
31	2.370732078e+14	3343	484876734.7	3343
32	2.339150418e+14	3343	480036832.2	3343
33	2.296229991e+14	3343	475572031.6	3343
34	2.29319081e+14	3343	474965943.7	3343
35	2.286927322e+14	3343	473137412.3	3343
36	2.28651906e+14	3343	473218114.7	3343
37	2.261328615e+14	3343	471315218.3	3343
38	2.233550543e+14	3343	468774036.5	3343
39	2.230575428e+14	3343	467988051.5	3343
40	2.212737944e+14	3343	465808774.8	3343
41	2.214082928e+14	3343	465502271.5	3343
42	2.211928856e+14	3343	464259449.6	3343
43	2.210816426e+14	3343	464329586.8	3343
44	2.196829668e+14	3343	462337069.9	3343
45	2.191034242e+14	3343	461172637.2	3343
46	2.190953757e+14	3343	460908550	3343
47	2.192289385e+14	3343	460977469.1	3343
48	2.19330002e+14	3343	461049136.2	3343
49	2.181082619e+14	3343	460039184.8	3343
50	2.146796078e+14	3343	457950027.3	3343
51	2.136902483e+14	3343	456781641.1	3343
52	2.128295521e+14	3343	455857703.4	3343
53	2.128760591e+14	3343	455875659.5	3343
54	2.122222362e+14	3343	454921143.8	3343
55	2.122903111e+14	3343	454726521.8	3343
56	2.124906217e+14	3343	454899770.2	3343
57	2.1171769e+14	3343	454209064.3	3343
58	2.116042498e+14	3343	454146654.5	3343
59	2.113844301e+14	3343	453320239.6	3343
60	2.114116514e+14	3343	453052509.8	3343
61	2.114139497e+14	3343	453092093.5	3343
62	2.109870079e+14	3343	451405194.9	3343
63	2.110159834e+14	3343	451348174.4	3343
64	2.10662373e+14	3343	451008062	3343
65	2.10457668e+14	3343	450720006	3343
66	2.101294575e+14	3343	450295950.5	3343
67	2.096639333e+14	3343	448952437.9	3343
68	2.097982587e+14	3343	448545891.9	3343
69	2.093851065e+14	3343	447811395	3343
70	2.093766263e+14	3343	447860614.1	3343
71	2.093105094e+14	3343	447787942.5	3343
72	2.085630517e+14	3343	447097873.6	3343
73	2.075036955e+14	3343	446093178.9	3343
74	2.074394205e+14	3343	446061578.3	3343
75	2.074751911e+14	3343	446042747.7	3343
76	2.054258566e+14	3343	444610186.9	3343
77	2.036929101e+14	3343	443241754.3	3343
78	2.037419972e+14	3343	443334366.5	3343
79	2.012113563e+14	3343	441910381.1	3343
80	2.011376116e+14	3343	441872688.3	3343
81	2.010386193e+14	3343	441742526.7	3343
82	2.005434879e+14	3343	441066006.2	3343
83	1.992121444e+14	3343	440515137.2	3343
84	1.989183905e+14	3343	439465512.6	3343
85	1.975621869e+14	3343	438836394.8	3343
86	1.973836869e+14	3343	438862094.6	3343
87	1.967193612e+14	3343	438043514.6	3343
88	1.967557034e+14	3343	437834051.9	3343
89	1.965186263e+14	3343	436941991.3	3343
90	1.963503945e+14	3343	436393997.5	3343
91	1.963452185e+14	3343	436387657.3	3343
92	1.965470854e+14	3343	436575309.4	3343
93	1.962643824e+14	3343	436370077	3343
94	1.954690182e+14	3343	436088721.5	3343
95	1.956705482e+14	3343	436179539.1	3343
96	1.955707082e+14	3343	435654011	3343
97	1.955247612e+14	3343	435658664.5	3343
98	1.954368211e+14	3343	435551069.7	3343
99	1.942719021e+14	3343	434795671.7	3343
100	1.944618043e+14	3343	434828159.8	3343
101	1.943448522e+14	3343	434649388.2	3343
102	1.943018528e+14	3343	434653761.6	3343
103	1.942864983e+14	3343	434729684	3343
104	1.943058654e+14	3343	434734862.6	3343
105	1.941952722e+14	3343	434657314.9	3343
106	1.942736197e+14	3343	434741162.9	3343
107	1.94124778e+14	3343	434681807	3343
108	1.936833825e+14	3343	434055190.1	3343
109	1.937291912e+14	3343	434275686.2	3343
110	1.929965479e+14	3343	433372487.5	3343
111	1.929831302e+14	3343	433118674.2	3343
112	1.927124485e+14	3343	432773534.8	3343
113	1.907098235e+14	3343	431376834.2	3343
114	1.905608758e+14	3343	431481388.3	3343
115	1.883246951e+14	3343	430290408.2	3343
116	1.883162451e+14	3343	430304578.8	3343
117	1.873059854e+14	3343	429457717	3343
118	1.874010732e+14	3343	429478430	3343
119	1.872108797e+14	3343	429094489.4	3343
120	1.872941025e+14	3343	429130874.5	3343
121	1.871972405e+14	3343	429132502.1	3343
122	1.8679385e+14	3343	428613957.2	3343
123	1.867859446e+14	3343	428638551.5	3343
124	1.866472011e+14	3343	428449327.1	3343
125	1.863452889e+14	3343	427986258.5	3343
126	1.862123538e+14	3343	427903199.1	3343
127	1.853983136e+14	3343	426918006.4	3343
128	1.854698226e+14	3343	426879986.2	3343
129	1.853664216e+14	3343	426828706.8	3343
130	1.853643859e+14	3343	426849512.5	3343
131	1.852956589e+14	3343	426425405.8	3343
132	1.842132165e+14	3343	425562976.8	3343
133	1.839769258e+14	3343	425152491	3343
134	1.835330872e+14	3343	424715763.6	3343
135	1.822611613e+14	3343	423551365.2	3343
136	1.821648762e+14	3343	423561558.8	3343
137	1.821720822e+14	3343	423593210.1	3343
138	1.820098424e+14	3343	423484870.7	3343
139	1.818945434e+14	3343	423359918.3	3343
140	1.817039136e+14	3343	423104975.7	3343
141	1.818254927e+14	3343	423208234.7	3343
142	1.817647479e+14	3343	423034733.2	3343
143	1.816563158e+14	3343	422690971.2	3343
144	1.816566735e+14	3343	422697257.4	3343
145	1.815771748e+14	3343	422673876.7	3343
146	1.815140254e+14	3343	422609019.3	3343
147	1.803408936e+14	3343	421929628.1	3343
148	1.8023342e+14	3343	421926774.3	3343
149	1.801997284e+14	3343	421864357.6	3343
150	1.80222837e+14	3343	421911410	3343
151	1.800612988e+14	3343	421735926.1	3343
152	1.799323764e+14	3343	421648340	3343
153	1.794238921e+14	3343	420916076.7	3343
154	1.795013793e+14	3343	420945754.9	3343
155	1.794890894e+14	3343	420976250.6	3343
156	1.788743932e+14	3343	420622944.4	3343
157	1.779658023e+14	3343	419798247.2	3343
158	1.779681759e+14	3343	419695526.1	3343
159	1.779131565e+14	3343	419589320	3343
160	1.778728349e+14	3343	419573201.1	3343
161	1.779667769e+14	3343	419587346.6	3343
162	1.778654047e+14	3343	419462364.7	3343
163	1.778339951e+14	3343	419367471.8	3343
164	1.776379526e+14	3343	418994949.7	3343
165	1.775278485e+14	3343	418911805.4	3343
166	1.769817082e+14	3343	418486501.6	3343
167	1.769334841e+14	3343	418313842.3	3343
168	1.769780792e+14	3343	418292587.8	3343
169	1.760782953e+14	3343	417880290.5	3343
170	1.761082653e+14	3343	417657244.9	3343
171	1.759175592e+14	3343	417557370.1	3343
172	1.759124819e+14	3343	417590359.8	3343
173	1.759010632e+14	3343	417522191.6	3343
174	1.754756803e+14	3343	416775464.1	3343
175	1.753656478e+14	3343	416698107.4	3343
176	1.746510973e+14	3343	416326110.7	3343
177	1.747934844e+14	3343	416389520.8	3343
178	1.744829262e+14	3343	415913416.3	3343
179	1.743725387e+14	3343	415595552.8	3343
180	1.744120652e+14	3343	415556530.7	3343
181	1.743910567e+14	3343	415519586.3	3343
182	1.742670154e+14	3343	415411972.2	3343
183	1.741065237e+14	3343	415160012.3	3343
184	1.740253859e+14	3343	415092837.5	3343
185	1.740362107e+14	3343	415125351	3343
186	1.739545769e+14	3343	415090821.1	3343
187	1.738596215e+14	3343	414667182	3343
188	1.737964472e+14	3343	414656300.6	3343
189	1.737082427e+14	3343	414564200.3	3343
190	1.736430579e+14	3343	414428486.9	3343
191	1.736589308e+14	3343	414437358.5	3343
192	1.734455543e+14	3343	414150323.8	3343
193	1.734662783e+14	3343	414021129.8	3343
194	1.734188566e+14	3343	413839783.7	3343
195	1.73665328e+14	3343	413874817.8	3343
196	1.735974565e+14	3343	413768457.6	3343
197	1.735794649e+14	3343	413682294.6	3343
198	1.734652951e+14	3343	413629548.6	3343
199	1.734855282e+14	3343	413604906	3343
200	1.72817043e+14	3343	412982185.9	3343
201	1.728611763e+14	3343	412975419.1	3343
202	1.72803889e+14	3343	412917242.5	3343
203	1.728531372e+14	3343	413001525.9	3343
204	1.731294898e+14	3343	413114796.7	3343
205	1.73085521e+14	3343	413070806	3343
206	1.730133342e+14	3343	412948166.9	3343
207	1.730096977e+14	3343	412622990.5	3343
208	1.729912439e+14	3343	412634366.5	3343
209	1.727554416e+14	3343	412239092	3343
210	1.727250457e+14	3343	412150177.8	3343
211	1.727032934e+14	3343	411890428.3	3343
212	1.726554411e+14	3343	411877756.5	3343
213	1.725660274e+14	3343	411906423.7	3343
214	1.725863987e+14	3343	411947140.1	3343
215	1.724658619e+14	3343	411753368.3	3343
216	1.72336229e+14	3343	411625377.5	3343
217	1.722777342e+14	3343	411547074.3	3343
218	1.720008784e+14	3343	411250917.9	3343
219	1.720164466e+14	3343	411287802.5	3343
220	1.720337986e+14	3343	411282112.5	3343
221	1.720246297e+14	3343	411361862.9	3343
222	1.71894353e+14	3343	411257825.9	3343
223	1.718044268e+14	3343	411167246.4	3343
224	1.717911355e+14	3343	411169388.2	3343
225	1.71879596e+14	3343	411130504.3	3343
226	1.719428388e+14	3343	411103936.9	3343
227	1.719452165e+14	3343	411047962.7	3343
228	1.71905605e+14	3343	410987813	3343
229	1.719657334e+14	3343	411014187	3343
230	1.719281181e+14	3343	410902740.2	3343
231	1.718898422e+14	3343	410889939.1	3343
232	1.71850041e+14	3343	410859697	3343
233	1.717823419e+14	3343	410741295.5	3343
234	1.71872996e+14	3343	410768248.4	3343
235	1.715490318e+14	3343	410564230.8	3343
236	1.714402926e+14	3343	410327797	3343
237	1.713888108e+14	3343	410216252.3	3343
238	1.713477396e+14	3343	410128364	3343
239	1.712946442e+14	3343	409806754.1	3343
240	1.711950282e+14	3343	409815131.1	3343
241	1.712379148e+14	3343	409828898	3343
242	1.711596831e+14	3343	409719763.3	3343
243	1.711008567e+14	3343	409495041.6	3343
244	1.710749425e+14	3343	409449856.3	3343
245	1.710540844e+14	3343	409644560.4	3343
246	1.710087443e+14	3343	409658528	3343
247	1.709843506e+14	3343	409618439.4	3343
248	1.710000822e+14	3343	409621254.9	3343
249	1.708696932e+14	3343	409577513.1	3343
250	1.709621916e+14	3343	409513209	3343
251	1.709376355e+14	3343	409490975.2	3343
252	1.708940123e+14	3343	409426248.7	3343
253	1.706760519e+14	3343	409380075.6	3343
254	1.705826785e+14	3343	409299670.7	3343
255	1.705729653e+14	3343	409274945.7	3343
256	1.706200615e+14	3343	409273882.8	3343
257	1.706034958e+14	3343	409158626.4	3343
258	1.705610609e+14	3343	409027155.5	3343
259	1.705620135e+14	3343	409217441.7	3343
260	1.704287359e+14	3343	409039168.5	3343
261	1.703392848e+14	3343	408882298.2	3343
262	1.703399441e+14	3343	408934939.2	3343
263	1.703907625e+14	3343	409028687.7	3343
264	1.704204008e+14	3343	409104061.9	3343
265	1.70417735e+14	3343	409060134.1	3343
266	1.70406705e+14	3343	409014499.3	3343
267	1.704791549e+14	3343	409144354	3343
268	1.705419356e+14	3343	408991119	3343
269	1.705381853e+14	3343	408862448.4	3343
270	1.704885433e+14	3343	408818304.7	3343
271	1.706508492e+14	3343	409103959	3343
272	1.706137444e+14	3343	408829325.8	3343
273	1.706363977e+14	3343	408789293.8	3343
274	1.70615381e+14	3343	408794459.3	3343
275	1.706753538e+14	3343	408813691.6	3343
276	1.706861617e+14	3343	408827990.7	3343
277	1.706916356e+14	3343	408851236	3343
278	1.70602817e+14	3343	408788097.2	3343
279	1.705645928e+14	3343	408780226.4	3343
280	1.705399542e+14	3343	408781684.8	3343
281	1.705360019e+14	3343	408776355.1	3343
282	1.704949014e+14	3343	408620973.1	3343
283	1.704486299e+14	3343	408583328.2	3343
284	1.704599484e+14	3343	408550390	3343
285	1.704371461e+14	3343	408566008.6	3343
286	1.706027597e+14	3343	408623227.9	3343
287	1.705606641e+14	3343	408486612.5	3343
288	1.705259089e+14	3343	408394065.7	3343
289	1.705028724e+14	3343	408397337.3	3343
290	1.704612773e+14	3343	408356056.6	3343
291	1.703632335e+14	3343	408079836.6	3343
292	1.702617852e+14	3343	407929230.5	3343
293	1.702436035e+14	3343	407927470.1	3343
294	1.703163671e+14	3343	407959665.7	3343
295	1.700825617e+14	3343	407787179.3	3343
296	1.701266596e+14	3343	407817942.4	3343
297	1.702187482e+14	3343	407866097.9	3343
298	1.700630574e+14	3343	407749049.7	3343
299	1.700372603e+14	3343	407664242.9	3343
300	1.699970413e+14	3343	407620356.5	3343
301	1.700341269e+14	3343	407716693.3	3343
302	1.700627953e+14	3343	407701903.2	3343
303	1.700077326e+14	3343	407527703.4	3343
304	1.699488156e+14	3343	407472033	3343
305	1.699657602e+14	3343	407440141.6	3343
306	1.699296122e+14	3343	407308109.1	3343
307	1.698888786e+14	3343	407148374	3343
308	1.698794621e+14	3343	407095832.8	3343
309	1.698524044e+14	3343	407092668.9	3343
310	1.698145638e+14	3343	407046230.3	3343
311	1.696697205e+14	3343	406941210.3	3343
312	1.696526417e+14	3343	406868519.4	3343
313	1.695800241e+14	3343	406836803.8	3343
314	1.696084725e+14	3343	406863526.3	3343
315	1.695790597e+14	3343	406754187.8	3343
316	1.696173272e+14	3343	406688359.1	3343
317	1.695799897e+14	3343	406611435.1	3343
318	1.697316677e+14	3343	406718905.7	3343
319	1.697258691e+14	3343	406719247.7	3343
320	1.698148274e+14	3343	406773731	3343
321	1.697570921e+14	3343	406617603.5	3343
322	1.697325367e+14	3343	406582610.3	3343
323	1.696965494e+14	3343	406560171.6	3343
324	1.697541246e+14	3343	406632024.8	3343
325	1.697098288e+14	3343	406482891.7	3343
326	1.69726281e+14	3343	406447769.8	3343
327	1.69712743e+14	3343	406387237.7	3343
328	1.697044489e+14	3343	406354783.5	3343
329	1.697473541e+14	3343	406330527.7	3343
330	1.696287045e+14	3343	406102772.6	3343
331	1.695846292e+14	3343	405997800.9	3343
332	1.695326616e+14	3343	405964002.3	3343
333	1.695036986e+14	3343	405880301.3	3343
334	1.693888841e+14	3343	405742765.3	3343
335	1.689395752e+14	3343	405216159.2	3343
336	1.689040863e+14	3343	405066043	3343
337	1.688630073e+14	3343	404905984	3343
338	1.688576171e+14	3343	404956467.5	3343
339	1.688847576e+14	3343	404856206.1	3343
340	1.688500199e+14	3343	404897220.4	3343
341	1.689232621e+14	3343	404936439.5	3343
342	1.68966167e+14	3343	404966974	3343
343	1.688669095e+14	3343	404759109	3343
344	1.68845511e+14	3343	404601738.8	3343
345	1.688215193e+14	3343	404532098.2	3343
346	1.687609711e+14	3343	404404190.5	3343
347	1.68749795e+14	3343	404288315.1	3343
348	1.687377221e+14	3343	404218236	3343
349	1.686324662e+14	3343	404067755.8	3343
350	1.685267149e+14	3343	403930803.6	3343
351	1.684937223e+14	3343	403970623.4	3343
352	1.685056045e+14	3343	403977546.5	3343
353	1.685256146e+14	3343	403985576.8	3343
354	1.687349739e+14	3343	403918156.3	3343
355	1.687370462e+14	3343	403959505	3343
356	1.687360239e+14	3343	404008126.6	3343
357	1.687500015e+14	3343	403914824.9	3343
358	1.687467432e+14	3343	403764699	3343
359	1.686779637e+14	3343	403720572.7	3343
360	1.685860625e+14	3343	403771611.2	3343
361	1.686753328e+14	3343	403725414.6	3343
362	1.686368801e+14	3343	403694678.5	3343
363	1.686149916e+14	3343	403612336.9	3343
364	1.685784881e+14	3343	403421876.9	3343
365	1.685847529e+14	3343	403425855.4	3343
366	1.68556102e+14	3343	403263436.2	3343
367	1.685123531e+14	3343	403048790.3	3343
368	1.685776141e+14	3343	403191526.5	3343
369	1.685673423e+14	3343	403147239	3343
370	1.684715637e+14	3343	403032484.4	3343
371	1.684529515e+14	3343	403008807.5	3343
372	1.68375231e+14	3343	402823700.1	3343
373	1.684882297e+14	3343	402801570.2	3343
374	1.684944772e+14	3343	402745734.6	3343
375	1.684775616e+14	3343	402715781.7	3343
376	1.684481333e+14	3343	402570779.3	3343
377	1.684280549e+14	3343	402495597.8	3343
378	1.683637871e+14	3343	402350961.9	3343
379	1.68353721e+14	3343	402401202.7	3343
380	1.683661358e+14	3343	402428362.1	3343
381	1.683156294e+14	3343	402305948	3343
382	1.683245642e+14	3343	402306467.5	3343
383	1.683545761e+14	3343	402354713.6	3343
384	1.683502913e+14	3343	402355303	3343
385	1.68347956e+14	3343	402316063.2	3343
386	1.683239475e+14	3343	402167293.9	3343
387	1.683303489e+14	3343	402168339	3343
388	1.682237382e+14	3343	401947437.3	3343
389	1.682213749e+14	3343	401829444.7	3343
390	1.685391736e+14	3343	401845989.6	3343
391	1.684384321e+14	3343	401766796.4	3343
392	1.683297074e+14	3343	401606213	3343
393	1.683288367e+14	3343	401525413.6	3343
394	1.681873334e+14	3343	401118749	3343
395	1.680938936e+14	3343	401062205.2	3343
396	1.679853146e+14	3343	400920150.8	3343
397	1.680738947e+14	3343	401072850.9	3343
398	1.679866344e+14	3343	400936621	3343
399	1.680155025e+14	3343	400986249.1	3343
400	1.680342848e+14	3343	400902577.7	3343
401	1.680398037e+14	3343	400903383.4	3343
402	1.680420673e+14	3343	400893495.3	3343
403	1.680173114e+14	3343	400843369.9	3343
404	1.68004346e+14	3343	400817021.8	3343
405	1.679874978e+14	3343	400818143	3343
406	1.679626098e+14	3343	400878368.2	3343
407	1.679740258e+14	3343	400880597.3	3343
408	1.680213449e+14	3343	400882703	3343
409	1.680260182e+14	3343	400726599.5	3343
410	1.680137429e+14	3343	400700228.3	3343
411	1.679839952e+14	3343	400633763.4	3343
412	1.680027783e+14	3343	400646570.9	3343
413	1.67989301e+14	3343	400696549	3343
414	1.679868401e+14	3343	400618526.9	3343
415	1.679748837e+14	3343	400632954.9	3343
416	1.680087031e+14	3343	400621189.8	3343
417	1.678828339e+14	3343	400419260.9	3343
418	1.678897414e+14	3343	400349083.6	3343
419	1.67783621e+14	3343	400205445.6	3343
420	1.6777317e+14	3343	400183064.2	3343
421	1.677790786e+14	3343	400163502.3	3343
422	1.678264243e+14	3343	400282106.1	3343
423	1.67829595e+14	3343	400306001.4	3343
424	1.679953055e+14	3343	400298175.2	3343
425	1.67817615e+14	3343	400188181.7	3343
426	1.67791931e+14	3343	400164535.1	3343
427	1.67740482e+14	3343	400000642.7	3343
428	1.677226669e+14	3343	399930267	3343
429	1.677003668e+14	3343	399871522.8	3343
430	1.676954343e+14	3343	399821782.5	3343
431	1.676518403e+14	3343	399737969.5	3343
432	1.675440069e+14	3343	399528133.9	3343
433	1.674975315e+14	3343	399513920.3	3343
434	1.675100418e+14	3343	399461165.7	3343
435	1.674922373e+14	3343	399452847.4	3343
436	1.674538818e+14	3343	399380633.1	3343
437	1.674695397e+14	3343	399436392.6	3343
438	1.674702731e+14	3343	399432344	3343
439	1.672685384e+14	3343	399180568.5	3343
440	1.67300715e+14	3343	399203781.3	3343
441	1.672085693e+14	3343	399120131	3343
442	1.67181541e+14	3343	399111580.7	3343
443	1.671961174e+14	3343	399101299.4	3343
444	1.672057585e+14	3343	399119599.3	3343
445	1.672153558e+14	3343	398989227.5	3343
446	1.672102553e+14	3343	398973872.1	3343
447	1.672003196e+14	3343	398946568	3343
448	1.672251865e+14	3343	398936944.1	3343
449	1.672732617e+14	3343	398899456	3343
450	1.672713266e+14	3343	398921313.9	3343
451	1.672936836e+14	3343	398918582.6	3343
452	1.671606766e+14	3343	398718753.5	3343
453	1.671657137e+14	3343	398680885.4	3343
454	1.671588016e+14	3343	398661351.7	3343
455	1.671664044e+14	3343	398693893.6	3343
456	1.672656517e+14	3343	398815915.1	3343
457	1.672720475e+14	3343	398796542.5	3343
458	1.673542671e+14	3343	398942894	3343
459	1.673579159e+14	3343	398937060.3	3343
460	1.673756432e+14	3343	398938146.6	3343
461	1.673375932e+14	3343	398911517.3	3343
462	1.673158934e+14	3343	398853203.9	3343
463	1.673191868e+14	3343	398863912.4	3343
464	1.672682107e+14	3343	398788514.7	3343
465	1.672602055e+14	3343	398736062.9	3343
466	1.672545e+14	3343	398675383.3	3343
467	1.672693416e+14	3343	398654395.6	3343
468	1.672711253e+14	3343	398622575.2	3343
469	1.672731339e+14	3343	398599298	3343
470	1.672480088e+14	3343	398452076.3	3343
471	1.672383504e+14	3343	398437670.9	3343
472	1.672136102e+14	3343	398380706.7	3343
473	1.672127658e+14	3343	398384284.7	3343
474	1.67224011e+14	3343	398392141.1	3343
475	1.672689887e+14	3343	398431227.4	3343
476	1.672646413e+14	3343	398291207	3343
